Available devices: [cuda(id=0)]
Data shape: (1, 12, 10, 2)


=== Beginning Training ... ===

Compiling function "train_step" for Node ...


Compiling function "train_step" for Coeffs...

    Epoch:     0      LossNode: 1.84092844      LossCoeffs: 1.84091222
    Epoch:     1      LossNode: 1.84344935      LossCoeffs: 1.84339583
    Epoch:     2      LossNode: 1.84232938      LossCoeffs: 1.84240127
    Epoch:     3      LossNode: 1.84130263      LossCoeffs: 1.84131801
    Epoch:  1000      LossNode: 0.50948477      LossCoeffs: 0.50936955
    Epoch:  2000      LossNode: 0.23740518      LossCoeffs: 0.23545253
    Epoch:  3000      LossNode: 0.04072805      LossCoeffs: 0.04103540
    Epoch:  4000      LossNode: 0.03067426      LossCoeffs: 0.03112863
    Epoch:  5000      LossNode: 0.02463683      LossCoeffs: 0.02472562
    Epoch:  6000      LossNode: 0.02115166      LossCoeffs: 0.02107496
    Epoch:  7000      LossNode: 0.01869391      LossCoeffs: 0.01880286
    Epoch:  8000      LossNode: 0.01694093      LossCoeffs: 0.01706432
    Epoch:  9000      LossNode: 0.01576062      LossCoeffs: 0.01598045
    Epoch: 10000      LossNode: 0.01476762      LossCoeffs: 0.01468480
    Epoch: 11000      LossNode: 0.01428949      LossCoeffs: 0.01405267
    Epoch: 12000      LossNode: 0.01375821      LossCoeffs: 0.01350083
    Epoch: 13000      LossNode: 0.01320675      LossCoeffs: 0.01332578
    Epoch: 14000      LossNode: 0.01272272      LossCoeffs: 0.01267713
    Epoch: 15000      LossNode: 0.01241541      LossCoeffs: 0.01249282
    Epoch: 16000      LossNode: 0.01221595      LossCoeffs: 0.01227644
    Epoch: 17000      LossNode: 0.01153304      LossCoeffs: 0.01213982
    Epoch: 18000      LossNode: 0.01241576      LossCoeffs: 0.01133765
    Epoch: 19000      LossNode: 0.01064186      LossCoeffs: 0.01184569
    Epoch: 20000      LossNode: 0.01195629      LossCoeffs: 0.01230779
    Epoch: 21000      LossNode: 0.00982069      LossCoeffs: 0.01049367
    Epoch: 22000      LossNode: 0.01165240      LossCoeffs: 0.00938192
    Epoch: 23000      LossNode: 0.00882155      LossCoeffs: 0.01140837
    Epoch: 24000      LossNode: 0.00779503      LossCoeffs: 0.01122794
    Epoch: 25000      LossNode: 0.00762679      LossCoeffs: 0.01115032
    Epoch: 26000      LossNode: 0.00636850      LossCoeffs: 0.00658094
    Epoch: 27000      LossNode: 0.00639577      LossCoeffs: 0.00782225
    Epoch: 28000      LossNode: 0.00550420      LossCoeffs: 0.00529193
    Epoch: 29000      LossNode: 0.01115952      LossCoeffs: 0.00494978
    Epoch: 30000      LossNode: 0.01118438      LossCoeffs: 0.00320835
    Epoch: 31000      LossNode: 0.01098392      LossCoeffs: 0.00189148
    Epoch: 32000      LossNode: 0.01133734      LossCoeffs: 0.00124935
    Epoch: 33000      LossNode: 0.01104353      LossCoeffs: 0.01091982
    Epoch: 34000      LossNode: 0.01080761      LossCoeffs: 0.01097797
    Epoch: 35000      LossNode: -0.00263318      LossCoeffs: 0.01083390
    Epoch: 36000      LossNode: -0.00165770      LossCoeffs: -0.00387665
    Epoch: 37000      LossNode: -0.00438513      LossCoeffs: -0.00469936
